"ID","CarUri","EctRui","LabCoe","NeiIri","NeiMac","Nyl001","PacHar","Phe011423","Phe0216","PheCol","PheGlo","PheMul","PhePug","RogFor","SolCfBic","SolCfCas","SolCfPol","SolCfVin","TranGil","WasAur","Sample_num","Plot_abbre","Season","Species","Experiment"
"25_Cec",0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,"25","wet","Cec","below"
"25_G",0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,4,"25","wet","G","below"
"25_Jac",0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.25,0,0,4,"25","wet","Jac","below"
"25_Och",0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,4,"25","wet","Och","below"
"25_P",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0,0,0.25,0,0,4,"25","wet","P","below"
"25_TrBl",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,4,"25","wet","TrBl","below"
"25_Zan",0,0,0.25,0,0,0.25,0,0,0,0,0,0,0,0,0.5,0,0,0.25,0,0,4,"25","wet","Zan","below"
"A_Ape",0,0,0.75,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0.25,0.25,0,4,"A","wet","Ape","below"
"A_Cec",0,0,0.5,0,0,0,0.25,0,0.25,0,0,0,0,0,0.5,0.25,0,0,0,0.25,4,"A","wet","Cec","below"
"A_G",0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0.25,0,0,0,0.25,0,4,"A","wet","G","below"
"A_Jac",0,0,0.25,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0.25,0,4,"A","wet","Jac","below"
"A_Och",0,0,0.75,0,0,0,0.5,0,0.25,0,0,0,0,0,0,0,0,0,0.25,0,4,"A","wet","Och","below"
"A_TrBl",0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0.25,0,4,"A","wet","TrBl","below"
"A_Zan",0,0,0.25,0,0,0,0,0,0.25,0,0,0,0,0,0.5,0,0,0.25,0,0,4,"A","wet","Zan","below"
"D_Ape",0,0,0.25,0,0.25,0,0.25,0,0,0,0,0,0,0.25,0.25,0,0,0,0.25,0,4,"D","wet","Ape","below"
"D_Cec",0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,4,"D","wet","Cec","below"
"D_G",0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0.75,0,4,"D","wet","G","below"
"D_Jac",0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0.5,0,0,0,0.25,0,4,"D","wet","Jac","below"
"D_Och",0,0,0,0,0,0,0,0,0,0.75,0,0,0,0,0.25,0,0,0,0.25,0,4,"D","wet","Och","below"
"D_P",0,0.25,0,0,0,0,0,0,0,0.25,0,0,0,0,0.25,0,0,0,0,0,4,"D","wet","P","below"
"D_TrBl",0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0.75,0,4,"D","wet","TrBl","below"
"D_Zan",0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0.5,0,4,"D","wet","Zan","below"
"P_Cec",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,4,"P","wet","Cec","below"
"P_G",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,4,"P","wet","G","below"
"P_Jac",0,0.25,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0.25,0,0,4,"P","wet","Jac","below"
"P_Och",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0.5,0,0,4,"P","wet","Och","below"
"P_P",0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,4,"P","wet","P","below"
"P_TrBl",0.25,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.25,0,4,"P","wet","TrBl","below"
"Z_Ape",0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.25,0,4,"Z","wet","Ape","below"
"Z_Cec",0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.25,0,4,"Z","wet","Cec","below"
"Z_G",0.25,0,0.25,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0.5,0.25,0,4,"Z","wet","G","below"
"Z_Jac",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0,0,4,"Z","wet","Jac","below"
"Z_Och",0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,4,"Z","wet","Och","below"
"Z_P",0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0.25,0,0,4,"Z","wet","P","below"
"Z_TrBl",0.25,0,0.5,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0.25,0.25,0,4,"Z","wet","TrBl","below"
"Z_Zan",0,0,0.5,0,0.25,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0.25,0,4,"Z","wet","Zan","below"
