"ID","AphAra","AztXan001","CamJTL004","CarBre","CypDix","CypMin","DolBis","EctRui","GnaCon","GnaReg","HylDen","HypOpa","LabCoe","LabPra","LepJTL002","LepPun","MayCon","MegSp001","MycTar","Myr001","Myr002","NeiHum","NeoVer","NylGua","OdoBau","OdoMei","PacHar","PacImp","ParBug","ParCor","Phe011423","Phe015","Phe0216","Phe025","Phe031","Phe091927","PheCfAvi","PheCfNit","PheCol","PheDas","PheGlo","PheMid","PheMul","PhePug","PheRug","PheSen","PheSim","SerAma","SolCfBic","SolCfBre","SolCfCas","SolCfPol","SolCfVin","SolCfZet","SolSp007","SolSp008","StrMar","WasAur","WasRoc","Sample_num","Plot_abbre","Season","Species","Experiment"
"25_dry",0,0,0,0,0.0625,0,0,0.5,0,0,0,0,0,0.125,0,0,0,0,0.0625,0.0625,0,0,0.125,0.0625,0.0625,0,0.125,0,0,0,0.0625,0,0,0,0,0,0,0,0,0,0,0,0.0625,0.0625,0,0,0,0.125,0,0,0.0625,0.0625,0.0625,0,0.0625,0,0,0,0.0625,16,"25","dry","P","pitfall_dry"
"25_wet",0,0,0,0.0625,0,0,0,0.625,0.0625,0,0,0.0625,0,0,0,0,0,0,0.125,0,0,0,0,0,0,0,0.0625,0,0,0,0,0,0,0,0.0625,0.0625,0.125,0,0.125,0,0,0,0,0.0625,0.1875,0,0,0.0625,0,0,0,0,0.125,0,0,0,0,0.0625,0,16,"25","wet","P","pitfall_wet"
"A_dry",0,0,0,0,0.0625,0,0,0.75,0.0625,0.0625,0,0,0,0,0,0,0,0,0,0,0.0625,0,0.125,0,0,0,0.6875,0.0625,0,0,0,0.0625,0.4375,0,0,0,0,0,0,0,0.0625,0,0.375,0,0.0625,0.0625,0.0625,0.125,0,0.125,0.1875,0,0.0625,0,0,0,0,0.0625,0,16,"A","dry","P","pitfall_dry"
"A_wet",0,0,0,0,0,0.0625,0,1,0.125,0.125,0,0,0.0625,0,0,0.3125,0,0.0625,0,0,0,0,0,0,0,0,0.625,0,0,0,0,0.0625,0.625,0,0,0,0,0,0,0,0,0,0.4375,0,0.0625,0,0.1875,0,0,0.0625,0.125,0.125,0.0625,0,0,0,0,0.0625,0,16,"A","wet","P","pitfall_wet"
"D_dry",0.375,0,0.0625,0.0625,0,0,0.0625,0,0,0,0.0625,0,0,0,0.0625,0,0,0,0,0,0,0,0,0,0.3125,0.0625,0.1875,0,0.0625,0,0,0,0,0,0,0,0.0625,0,0.0625,0,0,0.0625,0.0625,0.5,0,0,0,0.1875,0,0,0.0625,0,0,0,0,0,0,0.375,0,16,"D","dry","P","pitfall_dry"
"D_wet",0.0625,0,0,0,0,0,0,0.0625,0,0,0,0,0,0,0,0,0,0.0625,0,0,0,0,0.0625,0,0.0625,0.0625,0.125,0,0,0,0,0,0,0.1875,0,0.0625,0,0,0.5,0,0,0,0,0.375,0.0625,0.125,0,0.125,0,0,0,0,0.125,0,0,0,0,0.125,0,16,"D","wet","P","pitfall_wet"
"P_dry",0,0,0,0,0,0.0625,0,0.5,0,0,0,0,0,1,0,0.0625,0,0,0,0,0,0,0,0,0,0,0.3125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0.125,0.0625,0,0,0.0625,0,0.0625,0,0,0,0,0,16,"P","dry","P","pitfall_dry"
"P_wet",0.125,0.0625,0,0,0,0,0,0.9375,0,0,0,0,0,0,0,0,0.0625,0,0,0,0,0,0,0,0,0,0.375,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0,0,0.125,0,0,0,0,0.0625,0.0625,0.125,0,0.125,0.25,0,0,0.0625,0,0.1875,0,16,"P","wet","P","pitfall_wet"
"Z_dry",0,0,0,0,0,0,0,0.75,0,0,0,0,0,0,0,0.3125,0,0,0,0,0,0,0,0,0.25,0,0.4375,0,0,0.125,0,0,0,0,0,0,0,0.0625,0,0,0,0,0.3125,0,0,0,0.125,0.375,0.0625,0,0,0.0625,0.125,0.0625,0,0,0.0625,0,0,16,"Z","dry","P","pitfall_dry"
"Z_wet",0,0,0,0.0625,0,0.0625,0,0.875,0,0,0,0.0625,0,0,0,0.0625,0,0,0,0,0,0.0625,0,0,0,0,0.0625,0,0,0,0.0625,0,0.0625,0,0,0.0625,0,0,0,0.0625,0.0625,0,0.375,0,0.125,0,0.25,0.125,0,0.0625,0,0.0625,0.3125,0,0,0,0.0625,0.0625,0,16,"Z","wet","P","pitfall_wet"
